,UniProtId,EnsemblGeneId
747,P17174,ENSG00000120053
748,P24347,ENSG00000099953
749,P24347,ENSG00000275365
750,P19835,ENSG00000170835
751,P30043,ENSG00000090013
752,Q07912,ENSG00000061938
753,Q05655,ENSG00000163932
754,P36871,ENSG00000079739
755,P50225,ENSG00000196502
756,P04278,ENSG00000129214
757,P04179,ENSG00000112096
758,P04746,ENSG00000243480
759,P01133,ENSG00000138798
760,P16152,ENSG00000159228
761,Q7Z4J2,ENSG00000204007
762,Q00796,ENSG00000140263
763,P02778,ENSG00000169245
764,O75976,ENSG00000108582
765,P00558,ENSG00000102144
766,Q16772,ENSG00000174156
767,O00187,ENSG00000009724
768,P36952,ENSG00000206075
769,P16455,ENSG00000170430
770,P61927,ENSG00000145592
771,P30291,ENSG00000166483
772,P21673,ENSG00000130066
773,O14983,ENSG00000196296
774,P50135,ENSG00000150540
775,P31040,ENSG00000073578
776,P15813,ENSG00000158473
777,P01877,ENSG00000211890
778,P02585,ENSG00000101470
779,Q13285,ENSG00000136931
780,P01859,ENSG00000211893
781,P01859,ENSG00000274497
782,Q96GD4,ENSG00000178999
783,Q13464,ENSG00000067900
784,O60674,ENSG00000096968
785,P15086,ENSG00000153002
786,Q96LB9,ENSG00000159527
787,P31930,ENSG00000010256
788,P41231,ENSG00000175591
789,P08574,ENSG00000179091
790,O60656,ENSG00000241119
791,Q9Y5Y4,ENSG00000183134
792,P51681,ENSG00000160791
793,Q13509,ENSG00000258947
794,P35968,ENSG00000128052
795,Q2M3G0,ENSG00000004846
796,P55157,ENSG00000138823
797,P06881,ENSG00000110680
798,P29371,ENSG00000169836
799,P29466,ENSG00000137752
800,P08183,ENSG00000085563
801,P17948,ENSG00000102755
802,Q15648,ENSG00000125686
803,P49356,ENSG00000257365
804,P30874,ENSG00000180616
805,O14786,ENSG00000099250
806,P68371,ENSG00000188229
807,Q16206,ENSG00000165675
808,P02671,ENSG00000171560
809,Q01726,ENSG00000258839
810,O00206,ENSG00000136869
811,P13569,ENSG00000001626
812,P09958,ENSG00000140564
813,O43526,ENSG00000075043
814,P15382,ENSG00000180509
815,P20273,ENSG00000012124
816,P08729,ENSG00000135480
817,Q8WXI7,ENSG00000181143
818,P04049,ENSG00000132155
819,P42261,ENSG00000155511
820,P08865,ENSG00000168028
821,Q969S8,ENSG00000100429
822,Q96DB2,ENSG00000163517
823,Q92769,ENSG00000196591
824,O15379,ENSG00000171720
825,P56524,ENSG00000068024
826,Q9UQL6,ENSG00000108840
827,Q9UBN7,ENSG00000094631
828,Q8WUI4,ENSG00000061273
829,Q9UKV0,ENSG00000048052
830,P30411,ENSG00000168398
831,Q03431,ENSG00000160801
832,P06731,ENSG00000105388
833,P01903,ENSG00000227993
834,P01903,ENSG00000206308
835,P01903,ENSG00000204287
836,P01903,ENSG00000234794
837,P01903,ENSG00000230726
838,P01903,ENSG00000228987
839,P01903,ENSG00000226260
840,P79483,ENSG00000196101
841,P79483,ENSG00000231679
842,P13762,ENSG00000227357
843,P13762,ENSG00000231021
844,Q30154,ENSG00000198502
845,P04229,ENSG00000196126
846,Q30167,ENSG00000196126
847,P20039,ENSG00000196126
848,Q95IE3,ENSG00000196126
849,Q5Y7A7,ENSG00000196126
850,Q9GIY3,ENSG00000196126
851,P01911,ENSG00000196126
852,Q29974,ENSG00000196126
853,P01912,ENSG00000196126
854,P13760,ENSG00000196126
855,P13761,ENSG00000196126
856,Q30134,ENSG00000196126
857,Q9TQE0,ENSG00000196126
858,P31350,ENSG00000171848
859,P32927,ENSG00000100368
860,Q8NFA2,ENSG00000196408
861,P03952,ENSG00000164344
862,P40238,ENSG00000117400
863,Q92911,ENSG00000105641
864,P41235,ENSG00000101076
865,Q9NR96,ENSG00000239732
866,Q5NUL3,ENSG00000186188
867,P30520,ENSG00000035687
868,O00329,ENSG00000171608
869,P15328,ENSG00000110195
870,P29460,ENSG00000113302
871,P33151,ENSG00000179776
872,P36544,ENSG00000175344
873,P05093,ENSG00000148795
874,P17787,ENSG00000160716
875,Q9UNP4,ENSG00000115525
876,Q14956,ENSG00000136235
877,P16234,ENSG00000134853
878,P16615,ENSG00000174437
879,P06734,ENSG00000104921
880,P01584,ENSG00000125538
881,P16410,ENSG00000163599
882,P13945,ENSG00000188778
883,P06493,ENSG00000170312
884,P41594,ENSG00000168959
885,P32418,ENSG00000183023
886,Q9NPC1,ENSG00000213906
887,Q9NPC1,ENSG00000285203
888,Q00613,ENSG00000185122
889,Q00613,ENSG00000284774
890,P05546,ENSG00000099937
